,stt,name,address,lat,lng,reviews,rating,query,city
0,1,BÃI ĐỖ XE Ô TÔ,"Address: 39b P. Phúc Xá, Phúc xá, Ba Đình, Hà Nội, Vietnam",21.0478608,105.8457672,"[""The parking lot is large, covered and outdoor, the price is cheaper than other parking lots in the area, guarded day and night. Covered price is 2 million/month, outdoor is 1.5 million/month.""]",4.3,bãi đỗ xe Hà Nội,Hà Nội
1,2,Bãi đỗ xe,"Address: 293 Đ. Lê Duẩn, Lê Đại Hành, Đống Đa, Hà Nội, Vietnam",21.0149662,105.8415221,"[""Parking space is clear and convenient""]",4.5,bãi đỗ xe Hà Nội,Hà Nội
2,3,Bãi đỗ xe Ngọc Hà,"Address: 2RQH+JJV, Ngọc Hồ, Ba Đình, Hà Nội, Vietnam",21.0391194,105.8290374,"[""It's a bubbly and a energetic space of Hanoi a part of the old Quarter but bang on the north west point of the Hoan Kiem Lake..\nIt's not too hard to find a parking space here especially for bikes even in the …"", ""Always full of cars,want to park here should have good chance.""]",3.9,bãi đỗ xe Hà Nội,Hà Nội
3,4,Bãi đỗ xe Trường Chinh,"Address: 315 Đ. Trường Chinh, Khương Thượng, Thanh Xuân, Hà Nội, Vietnam",21.0018285,105.8229903,"[""The parking lot is spacious, there is a high-rise parking lot for cars, getting a car is quite convenient, and the staff is enthusiastic to support customers."", ""Please give me your phone number""]",4.9,bãi đỗ xe Hà Nội,Hà Nội
4,5,Bãi đỗ xe công viên Thủ Lệ,"Address: 2RJ5+QPF, Ngọc Khánh, Ba Đình, Hà Nội, Vietnam",21.0319313,105.8093104,"[""Car and motorbike parking lot, VETC sweeps by the hour is also quite high. The lot is just gravel with no markings. There is also no roof, quite makeshift."", ""Ok, support payment by VETC, OTO 25,000 VND/hour""]",3.8,bãi đỗ xe Hà Nội,Hà Nội
5,6,Bãi gửi xe,"Address: Ngh. 207/28 P. Bùi Xương Trạch, Chương Dương Độ, Hoàn Kiếm, Hà Nội, Vietnam",20.9867769,105.8198008,"[""Washes very clean, cheap price"", ""Enthusiastic protection""]",3.7,bãi đỗ xe Hà Nội,Hà Nội
6,7,Bãi Đỗ Xe Ô Tô,"Address: 33 P. Lý Thường Kiệt, Hàng Bài, Hoàn Kiếm, Hà Nội, Vietnam",21.0224655,105.8532371,"[""Linh Pho chicken noodle soup is open from 5:00 p.m. to 11:00 p.m"", ""Friendly and enthusiastic staff""]",4.8,bãi đỗ xe Hà Nội,Hà Nội
7,8,Bãi đỗ xe,"Address: 36 P. Hoàng Cầu, Chợ Dừa, Đống Đa, Hà Nội, Vietnam",21.0190385,105.8242586,[],4.0,bãi đỗ xe Hà Nội,Hà Nội
8,9,Bãi đỗ xe thổ quan,"Address: 2R8P+83R, Thổ Quan, Đống Đa, Hà Nội, Vietnam",21.015855,105.8351441,"[""There are cars parked in the middle of the street, at the median strip between the two directions. I wonder if it's because of the coordination of the parking staff?""]",4.5,bãi đỗ xe Hà Nội,Hà Nội
9,10,Bãi Gửi Xe D4-D6,"Address: 17duong Đ. Giải Phóng, Đồng Tâm, Hai Bà Trưng, Hà Nội, Vietnam",21.004815,105.8422449,"[""Comfortable, spacious and airy facilities, serving a large number of vehicles for students and school staff. Just opened another place in the wonderful D8 basement""]",5.0,bãi đỗ xe Hà Nội,Hà Nội
10,11,Điểm Gửi Xe Máy,"Address: 51/2 Ng. 128C P. Đại La, Đồng Tâm, Hai Bà Trưng, Hà Nội, Vietnam",20.9984002,105.8444061,"[""Clean restrooms. plenty of food""]",4.7,bãi đỗ xe Hà Nội,Hà Nội
11,12,Công Ty Khai Thác Điểm Đỗ Xe Hà Nội,"Address: 17 Hàng Đậu, Đồng Xuân, Hoàn Kiếm, Hà Nội, Vietnam",21.0403202,105.8491282,[],3.3,bãi đỗ xe Hà Nội,Hà Nội
12,13,Bãi Gửi Xe,"Address: Ngõ 27 Đ. Đại Cồ Việt, Cầu Dền, Hai Bà Trưng, Hà Nội, Vietnam",21.008089,105.8500022,[],5.0,bãi đỗ xe Hà Nội,Hà Nội
